Jason B-PER
comprises O
West B-LOC
Germany I-LOC
, O
the O
U.S. B-LOC
, O
France B-LOC
, O
the O
U.K. B-LOC
, O
Italy B-LOC
, O
Canada B-LOC
and O
Japan B-LOC
. O

When O
the B-MISC
Great I-MISC
Tangshan I-MISC
Earthquake I-MISC
hit O
, O
the B-ORG
Kailuan I-ORG
Mine I-ORG
Bureau I-ORG
was O
situated O
in O
the O
extreme O
quake O
zone O
. O

Ohbayashi B-ORG
officials O
said O
the O
purchase O
was O
undertaken O
to O
participate O
in O
ventures O
in O
and O
around O
New B-LOC
York I-LOC
City I-LOC
. O

Sanwa B-ORG
Shutter I-ORG
Corp. I-ORG
said O
its O
affiliated O
company O
in O
Malaysia B-LOC
, O
established O
this B-MISC
April I-MISC
, O
will O
begin O
manufacturing O
steel O
doors O
Wednesday B-MISC
. O

●The O
postal O
service O
sells O
them O
at O
a O
discount O
: O
a B-MISC
few I-MISC
years I-MISC
ago I-MISC
the O
postal O
service O
sold O
large O
quantities O
of O
stamps O
at O
low O
prices O
, O
violating O
pricing O
rules O
and O
stamp O
collecting O
rules O
. O

Israel B-LOC
says O
it O
will O
hunt O
down O
anyone O
who O
plans O
or O
carries O
out O
terrorist O
attacks O
against O
Israelis B-MISC
. O

In O
recent B-MISC
years I-MISC
, O
the O
economy O
and O
trade O
contacts O
between O
the O
countries O
of O
China B-LOC
and O
South B-LOC
Korea I-LOC
have O
been O
developing O
rapidly O
. O

By O
their O
constant O
readiness O
to O
advise O
all O
and O
sundry O
about O
federal O
budgetary O
matters O
the O
chairmen O
have O
encouraged O
the O
belief O
that O
fiscal O
policy O
and O
monetary O
policy O
are O
ingredients O
of O
a O
common O
stew O
, O
in O
which O
case O
it O
is O
natural O
that O
the O
Fed B-ORG
and O
the O
Treasury B-ORG
, O
and O
probably O
also O
the O
Congress B-ORG
, O
should O
be O
jointly O
engaged O
in O
stirring O
the O
pot O
. O

Crude O
oil O
futures O
prices O
fell O
further O
as O
analysts O
and O
traders O
said O
OPEC B-ORG
oil O
producers O
are O
n't O
putting O
the O
brakes O
on O
output O
ahead O
of O
the B-MISC
traditionally I-MISC
weak I-MISC
first I-MISC
quarter I-MISC
. O

North B-MISC
Carolinians I-MISC
, O
New B-MISC
Yorkers I-MISC
, O
Californians B-MISC
, O
Chicagoans B-MISC
and O
Ohioans B-MISC
own O
Texas B-LOC
banks O
. O

He O
was O
followed O
by O
Rice B-PER
with O
the O
same O
tone O
and O
language O
during O
her O
last B-MISC
meeting O
with O
her O
colleague O
the O
Zionist B-MISC
foreign O
minister O
where O
she O
criticized O
al B-PER
- I-PER
Maliki I-PER
, O
who O
is O
expected O
to O
be O
relieved O
of O
his O
post O
as O
another O
step O
to O
entice O
the O
Iraq B-LOC
's O
neighboring O
countries O
, O
specifically O
those O
who O
crave O
its O
budget O
surplus O
to O
spend O
it O
on O
their O
mistakes O
and O
adventures O
in O
power O
. O

